Google_ID;Titulo;ISBN_13;Autores;Editora;Data_Publicacao;Ano_Publicacao;Idioma;Paginas;Categoria;Thumbnail;Disponivel_Venda;Preco_R$;Link_Compra;Link_Google_Books;Epub_Disponivel;Epub_Link;PDF_Disponivel;PDF_Link;PDF_WEB_Reader
SyNrDwAAQBAJ;Produção De Conteúdos Educacionais;9788502635890;Andrea Cristina Filatro, Sabrina M Cairo Bileski;Saraiva Educação S.A.;2017-10-06;2017;Português;586;Education, General;http://books.google.com/books/publisher/content?id=SyNrDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72aVUZAtAbbIVlmCRX-oChuZU7sjuYwkSR1HjYdfBxd4e3QSqN_Yjf9f1eYEAZFTTtz3BtA9mPsvTnbcvsaRCuD85bbx-JSnIJl0kU4_aHJ4WouzbWN0B7hEUoiJWtHiDDcV9ec&source=gbs_api;True;76.0;https://play.google.com/store/books/details?id=SyNrDwAAQBAJ&rdid=book-SyNrDwAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=SyNrDwAAQBAJ;True;http://books.google.com.br/books/download/PRODU%C3%87%C3%83O_DE_CONTE%C3%9ADOS_EDUCACIONAIS-sample-epub.acsm?id=SyNrDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/PRODU%C3%87%C3%83O_DE_CONTE%C3%9ADOS_EDUCACIONAIS-sample-pdf.acsm?id=SyNrDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=SyNrDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api
cDlnDwAAQBAJ;Ifrs E Cpc;9788502212305;Antonio Benedito Da Silva Oliveira, Dalgi Siqueira Santos;Saraiva Educação S.A.;2017-10-06;2017;Inglês;302;Business & Economics, General;http://books.google.com/books/publisher/content?id=cDlnDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE73rOBEfg8cLA8oEmJheXjyWQQrSK6vKolXWQMhOJjiKS7tGXf9gewJMD6Yv0fO_7FtAn5UuMIwobQRCs_dkD0mfpOqy-6IYdDWDvPidZc2gHDoab5vgcK6LlJA9vX9YqawS_zhQ&source=gbs_api;True;72.0;https://play.google.com/store/books/details?id=cDlnDwAAQBAJ&rdid=book-cDlnDwAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=cDlnDwAAQBAJ;True;http://books.google.com.br/books/download/IFRS_e_CPC-sample-epub.acsm?id=cDlnDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/IFRS_e_CPC-sample-pdf.acsm?id=cDlnDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=cDlnDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api
5x1nDwAAQBAJ;Barreiras Para Resolução De Conflitos - Série Gvlaw;9788502126978;Ana Tereza Schlaepfer Spinola, Diego Faleck, Fabiana Camera, Fundacao Getulio Vargas, Humberto Dalla Bernardina De Pinho, Max Frederico Magalhaes Fontes, Octavio Penna Pieranti, Yann Igor Pierre George Duzert, Sergio Assis Rodrigues, Murillo De Oliveira Dias, Marcus Eduardo Magalhaes Fontes, Gerson Antonio De Souza Borges, Fabio Dos Santos Cardoso;Saraiva Educação S.A.;2017-10-06;2017;Alemão;355;Law, General;http://books.google.com/books/publisher/content?id=5x1nDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE71QvhdMiaqIUyHJpX_9F6ewSODEqA6826PiZhgOTf3H5xfx04Jdke3fd8F1FXv4Wxqo-QDKsMqzVEO07KMO1qsVN_TSNho16ZKiN_QpO_XK93Ebq70yg5N8qPN1wXOqvtXeRvoh&source=gbs_api;True;160.0;https://play.google.com/store/books/details?id=5x1nDwAAQBAJ&rdid=book-5x1nDwAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=5x1nDwAAQBAJ;True;http://books.google.com.br/books/download/BARREIRAS_PARA_RESOLU%C3%87%C3%83O_DE_CONFLITOS-sample-epub.acsm?id=5x1nDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/BARREIRAS_PARA_RESOLU%C3%87%C3%83O_DE_CONFLITOS-sample-pdf.acsm?id=5x1nDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=5x1nDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api
yEFnDwAAQBAJ;Saberes Monográficos - Lei Maria Da Penha;9788547203894;Alice Bianchini, Ivan Luis Marques Da Silva, Luiz Flavio Gomes;Saraiva Educação S.A.;2017-10-06;2017;Inglês;348;Law, General;http://books.google.com/books/publisher/content?id=yEFnDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE71SIiaDfwgPaKJQ0zu2937l5kqWWxYKu9U9u4J4cU32lOuOGMRa8MS_ZJ3czNU7F0xGOu87Guu7TPBNh7y5zTx_Ex92p7jLbJt9WBdLQFhzb6Da36A8OPnub2RSFth6d-FY6Gdz&source=gbs_api;True;109.0;https://play.google.com/store/books/details?id=yEFnDwAAQBAJ&rdid=book-yEFnDwAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=yEFnDwAAQBAJ;True;http://books.google.com.br/books/download/SABERES_MONOGR%C3%81FICOS_LEI_MARIA_DA_PENHA-sample-epub.acsm?id=yEFnDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/SABERES_MONOGR%C3%81FICOS_LEI_MARIA_DA_PENHA-sample-pdf.acsm?id=yEFnDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=yEFnDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api
yD9nDwAAQBAJ;Economia De Empresa;9788502635319;Ronaldo Fiani;Saraiva Educação S.A.;2017-10-06;2017;Português;386;Business & Economics, General;http://books.google.com/books/publisher/content?id=yD9nDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE71RFM8boIm2sCPxQJ-j9-czvvpxw_SaqJtsAlaSw9ttjKFj5cKb7JrW-h65qvcgKgBs0yRB4p1RiUKo6soVJpLrjnkW_tvfAA3mmFWoXezeNUIWKfvILSbx0ydYwT9Vxuj-A4Y-&source=gbs_api;True;56.0;https://play.google.com/store/books/details?id=yD9nDwAAQBAJ&rdid=book-yD9nDwAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=yD9nDwAAQBAJ;True;http://books.google.com.br/books/download/ECONOMIA_DE_EMPRESA-sample-epub.acsm?id=yD9nDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/ECONOMIA_DE_EMPRESA-sample-pdf.acsm?id=yD9nDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=yD9nDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api
2EFnDwAAQBAJ;Direito Bancário - Contratos E Operações Bancárias;9788547204495;Gilberto Gornati, Ivo Waisberg;Saraiva Educação S.A.;2017-10-06;2017;Inglês;343;Law, General;http://books.google.com/books/publisher/content?id=2EFnDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE70iuuh9eeitTtsILm6y-gXy3uyQDlftOL8wUPKQJIAHuXDoyvzRdcT_vQYpNjGNcfyqqmREI3PYkbT04oarFJl7JdNY00YLtuWQ34hK0KNmqKlL1zUV4ZsL5s60Km9hNZfsyN46&source=gbs_api;False;;;https://play.google.com/store/books/details?id=2EFnDwAAQBAJ;True;http://books.google.com.br/books/download/Direito_Banc%C3%A1rio_Contratos_e_opera%C3%A7%C3%B5e-sample-epub.acsm?id=2EFnDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/Direito_Banc%C3%A1rio_Contratos_e_opera%C3%A7%C3%B5e-sample-pdf.acsm?id=2EFnDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=2EFnDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api
Tj9nDwAAQBAJ;O Controle De Constitucionalidade No Direito Brasileiro;9788502629264;Luis Roberto Barroso;Saraiva Educação S.A.;2017-10-06;2017;Português;555;Law, General;http://books.google.com/books/publisher/content?id=Tj9nDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE70W3TqyR5i-X2P8oWoSNfMYrNRekJ0jylvuqgrEJZADOS-mZ1Dl3oKb-3kciLsupReLzWcboUG282z_MihlHI7NtYDkvH_BfeVtFW6AC67r8rPaEwgsEaX_hxSpXgT69WCGXgTG&source=gbs_api;False;;;https://play.google.com/store/books/details?id=Tj9nDwAAQBAJ;True;http://books.google.com.br/books/download/O_CONTROLE_DE_CONSTITUCIONALIDADE_NO_DIR-sample-epub.acsm?id=Tj9nDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/O_CONTROLE_DE_CONSTITUCIONALIDADE_NO_DIR-sample-pdf.acsm?id=Tj9nDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=Tj9nDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api
VYVnDwAAQBAJ;Contabilidade De Custos;9788502194588;Paulo Viceconti;Saraiva Educação S.A.;2017-10-06;2017;Português;401;Business & Economics, General;http://books.google.com/books/publisher/content?id=VYVnDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE73pfUvf327KE-6Nk52EaVhdvfH4Qv-VeVn7X1PZhXes5dwqeuKYMwHnieBook5CMwqvjqgAzI-4miqaBwwZJ3shf3_IEj6TU5ei8xEjAayA2t05kX9xEnFz0Z0yoANTnPHY2k6D&source=gbs_api;True;61.0;https://play.google.com/store/books/details?id=VYVnDwAAQBAJ&rdid=book-VYVnDwAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=VYVnDwAAQBAJ;True;http://books.google.com.br/books/download/CONTABILIDADE_DE_CUSTOS-sample-epub.acsm?id=VYVnDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/CONTABILIDADE_DE_CUSTOS-sample-pdf.acsm?id=VYVnDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=VYVnDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api
s4RnDwAAQBAJ;Sistemas De Informação;9788502197572;Emerson De Oliveira Batista;Saraiva Educação S.A.;2017-10-06;2017;Português;369;Business & Economics, General;http://books.google.com/books/publisher/content?id=s4RnDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72e4ZzE1i6wguB_6AsRSGQBd1mC2P4UMqYQCcQjHiTeuQNOZZiNfhlt-4kYevdPXGcvqud-9L9E4JuW9SC_44WUDTxOWZN9rrYDKQQYSt7kSZmWh6Yz5GNB8Uw1_FW9s6otWJp-&source=gbs_api;True;83.0;https://play.google.com/store/books/details?id=s4RnDwAAQBAJ&rdid=book-s4RnDwAAQBAJ&rdot=1&source=gbs_api;https://play.google.com/store/books/details?id=s4RnDwAAQBAJ;True;http://books.google.com.br/books/download/SISTEMAS_DE_INFORMA%C3%87%C3%83O-sample-epub.acsm?id=s4RnDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/SISTEMAS_DE_INFORMA%C3%87%C3%83O-sample-pdf.acsm?id=s4RnDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=s4RnDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api
tSprDwAAQBAJ;Direito Administrativo;9788502149236;Diogenes Gasparini;Saraiva Educação S.A.;2017-10-06;2017;Português;1430;Law, General;http://books.google.com/books/publisher/content?id=tSprDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE73njUIt8TDeK9ZfdEoownAV2DlHJ8PB2J4C2xatpD5byMAPPdHm-Kqon23sEO8umtoe57CwkPkiLRH2trfOhiKBRtgdyOFp6NBj1fTMhc_O0jt-3x7Rme0Yl7jsOpEQueKCLm48&source=gbs_api;False;;;https://play.google.com/store/books/details?id=tSprDwAAQBAJ;True;http://books.google.com.br/books/download/DIREITO_ADMINISTRATIVO-sample-epub.acsm?id=tSprDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;True;http://books.google.com.br/books/download/DIREITO_ADMINISTRATIVO-sample-pdf.acsm?id=tSprDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api;http://play.google.com/books/reader?id=tSprDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api
